Date,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
2020-07-03,PRO,31917.710613,71820240
2020-07-03,RES,78871.910231,545060962
2020-07-04,PRO,27936.394991,71812272
2020-07-04,RES,81852.05645,544998516
2020-07-05,PRO,24402.875285,71807952
2020-07-05,RES,83585.463076,544947560
2020-07-06,PRO,29722.500452,71811792
2020-07-06,RES,80546.538882,545048354
2020-07-07,PRO,31125.142755,71807664
2020-07-07,RES,78293.506159,544980092
2020-07-08,PRO,31566.693025,71804976
2020-07-08,RES,78840.204778,544950720
2020-07-09,PRO,32398.08165,71798976
2020-07-09,RES,79145.583028,544958702
2020-07-10,PRO,31885.878415,71794128
2020-07-10,RES,79001.38524,544984388
2020-07-11,PRO,28006.985293,71781456
2020-07-11,RES,78826.084515,544881698
2020-07-12,PRO,24284.264563,71776272
2020-07-12,RES,78652.293682,544823340
2020-07-13,PRO,28166.961149,71780112
2020-07-13,RES,77130.817815,544910614
2020-07-14,PRO,25184.817053,71773968
2020-07-14,RES,79070.163177,544868874
2020-07-15,PRO,30811.900214,71775600
2020-07-15,RES,76238.017253,544970404
2020-07-16,PRO,31040.552223,71777520
2020-07-16,RES,75932.14196,544949968
2020-07-17,PRO,31324.197198,71785536
2020-07-17,RES,75772.933357,544940218
2020-07-18,PRO,28349.563527,71771328
2020-07-18,RES,77460.390885,544853088
2020-07-19,PRO,24764.607412,71767296
2020-07-19,RES,79021.372048,544807672
2020-07-20,PRO,30305.217614,71776224
2020-07-20,RES,77326.448269,544920778
2020-07-21,PRO,32043.85106,71782848
2020-07-21,RES,76563.395435,544853172
2020-07-22,PRO,31760.139883,71775216
2020-07-22,RES,76680.769743,544851358
2020-07-23,PRO,32232.674892,71769648
2020-07-23,RES,76236.725559,544849950
2020-07-24,PRO,31920.003637,71778576
2020-07-24,RES,76310.030787,544874940
2020-07-25,PRO,28596.425241,71766768
2020-07-25,RES,77598.073617,544797216
2020-07-26,PRO,24629.59369,71761872
2020-07-26,RES,78664.421244,544744308
2020-07-27,PRO,30493.390023,71765520
2020-07-27,RES,77900.809234,544840224
2020-07-28,PRO,31943.277486,71775600
2020-07-28,RES,75962.524711,544711918
2020-07-29,PRO,31833.365392,71775504
2020-07-29,RES,76472.438789,544693524
2020-07-30,PRO,32928.157938,71778960
2020-07-30,RES,78162.655035,544675368
2020-07-31,PRO,33254.593799,71768352
2020-07-31,RES,80909.754231,544659784
2020-08-01,PRO,29146.583475,71752320
2020-08-01,RES,80648.733584,544436502
2020-08-02,PRO,24594.980133,71745216
2020-08-02,RES,78806.68768,544326756
2020-08-03,PRO,28441.204877,71753952
2020-08-03,RES,74830.525752,544465822
2020-08-04,PRO,29537.333456,71766288
2020-08-04,RES,72499.320493,544428154
2020-08-05,PRO,29939.421211,71767968
2020-08-05,RES,72632.540088,544418860
2020-08-06,PRO,30757.582668,71769312
2020-08-06,RES,73758.338911,544409752
2020-08-07,PRO,31493.735526,71765664
2020-08-07,RES,76353.927424,544436562
2020-08-08,PRO,28741.676678,71760768
2020-08-08,RES,79186.978056,544368942
2020-08-09,PRO,25312.929084,71758656
2020-08-09,RES,81733.515888,544321646
2020-08-10,PRO,29885.371854,71761152
2020-08-10,RES,79932.738457,544426788
2020-08-11,PRO,31443.705581,71757504
2020-08-11,RES,79491.881064,544382416
2020-08-12,PRO,31209.071793,71756016
2020-08-12,RES,79263.94280799999,544368476
2020-08-13,PRO,30558.868833,71758992
2020-08-13,RES,76745.441577,544381668
2020-08-14,PRO,29775.115591,71759280
2020-08-14,RES,75593.807107,544427818
2020-08-15,PRO,25870.831273,71753520
2020-08-15,RES,76642.49487,544372368
2020-08-16,PRO,24235.376465,71751504
2020-08-16,RES,77205.794455,544344804
2020-08-17,PRO,27873.051355,71751312
2020-08-17,RES,75029.628203,544464100
2020-08-18,PRO,29742.587422,71749776
2020-08-18,RES,74147.119723,544445898
2020-08-19,PRO,30088.585464,71751648
2020-08-19,RES,75569.386486,544493896
2020-08-20,PRO,31177.678571,71750400
2020-08-20,RES,76940.553166,544529702
2020-08-21,PRO,31024.775174,71754240
2020-08-21,RES,78052.725611,544574984
2020-08-22,PRO,27971.140924,71763984
2020-08-22,RES,77806.609288,544550828
2020-08-23,PRO,24224.075231,71761488
2020-08-23,RES,78858.235284,544532976
2020-08-24,PRO,28746.377027,71770032
2020-08-24,RES,76067.717903,544662586
2020-08-25,PRO,30892.500694,71777952
2020-08-25,RES,75968.514433,544695486
2020-08-26,PRO,30943.117132,71783616
2020-08-26,RES,76638.238949,544743398
2020-08-27,PRO,31560.261363,71791968
2020-08-27,RES,77137.133239,544793308
2020-08-28,PRO,31291.13995,71791200
2020-08-28,RES,78029.542591,544886192
2020-08-29,PRO,27800.305509,71783808
2020-08-29,RES,80019.777193,544843906
2020-08-30,PRO,24330.746805,71780256
2020-08-30,RES,82764.605033,544808700
2020-08-31,PRO,29288.210241,71784768
2020-08-31,RES,78748.259888,544945478
2020-09-01,PRO,31243.82154,71788176
2020-09-01,RES,76596.188679,544855784
2020-09-02,PRO,31141.383208,71786160
2020-09-02,RES,77661.997735,544822880
2020-09-03,PRO,32018.434815,71785392
2020-09-03,RES,76039.485634,544862250
