Date,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
2020-05-31,RES,72102.74015,390904324
2020-06-01,PRO,19081.565247,60735504
2020-06-01,RES,72322.090241,390884546
2020-06-02,PRO,23418.233202,60736944
2020-06-02,RES,69126.396649,390893084
2020-06-03,PRO,23251.839206,60734208
2020-06-03,RES,69733.877225,390859850
2020-06-04,PRO,23717.945733,60733968
2020-06-04,RES,70539.546685,390832630
2020-06-05,PRO,23769.898999,60741456
2020-06-05,RES,72149.161828,390858336
2020-06-06,PRO,21464.7353,60734544
2020-06-06,RES,74497.465334,390809856
2020-06-07,PRO,18911.085334,60731952
2020-06-07,RES,76357.39231,390787202
2020-06-08,PRO,22336.311075,60733920
2020-06-08,RES,73895.505233,390871486
2020-06-09,PRO,23778.537363,60730560
2020-06-09,RES,73873.28878,390883646
2020-06-10,PRO,23598.590969,60733344
2020-06-10,RES,74824.404174,390896736
2020-06-11,PRO,24246.544697,60738288
2020-06-11,RES,74308.004909,390915840
2020-06-12,PRO,24340.758531,60727632
2020-06-12,RES,74444.494763,390961248
2020-06-13,PRO,21660.317127,60721392
2020-06-13,RES,75875.14648,390940416
2020-06-14,PRO,18994.843829,60715248
2020-06-14,RES,75906.00227,390917380
2020-06-15,PRO,22581.914342,60721776
2020-06-15,RES,72346.040049,390997918
2020-06-16,PRO,23982.738427,60723840
2020-06-16,RES,70729.28199,390995832
2020-06-17,PRO,23819.392183,60721008
2020-06-17,RES,72028.723892,391011504
2020-06-18,PRO,24250.476957,60732912
2020-06-18,RES,71163.668902,391032492
2020-06-19,PRO,24232.484283,60732048
2020-06-19,RES,70995.231211,391076976
2020-06-20,PRO,21795.900199,60723984
2020-06-20,RES,72027.599061,391054224
2020-06-21,PRO,19130.708345,60722544
2020-06-21,RES,73252.80901,391021392
2020-06-22,PRO,22990.881362,60726192
2020-06-22,RES,70070.613847,391097904
2020-06-23,PRO,24656.562885,60730080
2020-06-23,RES,68539.125824,391113230
2020-06-24,PRO,24945.245704,60730374
2020-06-24,RES,69584.849285,391131770
2020-06-25,PRO,25909.724708,60727680
2020-06-25,RES,69468.369302,391159234
2020-06-26,PRO,25738.589454,60728304
2020-06-26,RES,69419.691951,391199568
2020-06-27,PRO,22692.845248,60722448
2020-06-27,RES,70793.698064,391155024
2020-06-28,PRO,19561.882646,60720624
2020-06-28,RES,72575.379275,391104802
2020-06-29,PRO,23500.236439,60727728
2020-06-29,RES,69706.79572,391168642
2020-06-30,PRO,24945.105889,60728160
2020-06-30,RES,68627.288029,391127650
2020-07-01,PRO,25498.754949,60731040
2020-07-01,RES,70162.545846,391093368
2020-07-02,PRO,25692.031694,60728592
2020-07-02,RES,68848.92554,391041794
2020-07-03,PRO,25361.252526,60730272
2020-07-03,RES,68382.897159,391087846
2020-07-04,PRO,22483.751468,60721632
2020-07-04,RES,71315.417604,391048086
2020-07-05,PRO,19887.793402,60718080
2020-07-05,RES,72819.160869,391010708
2020-07-06,PRO,23698.891363,60726432
2020-07-06,RES,70498.712945,391107544
2020-07-07,PRO,24889.833399,60732768
2020-07-07,RES,68816.2141,391099156
2020-07-08,PRO,25318.208275,60730272
2020-07-08,RES,69341.911388,391109366
2020-07-09,PRO,26048.789218,60728208
2020-07-09,RES,69580.522059,391131346
2020-07-10,PRO,25730.791466,60731760
2020-07-10,RES,69550.813245,391179222
2020-07-11,PRO,22909.242711,60725712
2020-07-11,RES,69789.430035,391126034
2020-07-12,PRO,20150.726393,60721680
2020-07-12,RES,69751.944464,391095344
2020-07-13,PRO,22930.833031,60724656
2020-07-13,RES,68554.648539,391171140
2020-07-14,PRO,20918.157043,60720144
2020-07-14,RES,70212.200449,391140572
2020-07-15,PRO,24943.702841,60728064
2020-07-15,RES,68154.558734,391222256
2020-07-16,PRO,25172.686476,60723168
2020-07-16,RES,68079.897098,391225000
2020-07-17,PRO,25408.981649,60722304
2020-07-17,RES,68088.675053,391244112
2020-07-18,PRO,23262.613319,60713472
2020-07-18,RES,69636.095281,391194668
2020-07-19,PRO,20646.229298,60710976
2020-07-19,RES,70987.908073,391164504
2020-07-20,PRO,24653.314998,60724992
2020-07-20,RES,69705.319739,391253142
2020-07-21,PRO,26077.537951,60729360
2020-07-21,RES,69143.397886,391233140
2020-07-22,PRO,25920.769968,60727872
2020-07-22,RES,69329.662093,391263776
2020-07-23,PRO,26264.840317,60726048
2020-07-23,RES,69181.207903,391287020
2020-07-24,PRO,26111.576981,60722016
2020-07-24,RES,69336.518755,391329730
2020-07-25,PRO,23708.384198,60715488
2020-07-25,RES,70549.278724,391288364
2020-07-26,PRO,20710.783591,60712896
2020-07-26,RES,71572.818051,391257936
2020-07-27,PRO,24972.456996,60716544
2020-07-27,RES,71071.025378,391336460
2020-07-28,PRO,26220.000846,60713568
2020-07-28,RES,69548.422884,391270786
2020-07-29,PRO,26095.604569,60708336
2020-07-29,RES,70207.970922,391283084
2020-07-30,PRO,26974.131581999998,60708672
2020-07-30,RES,71686.978111,391300470
2020-07-31,PRO,27267.269806,60702576
2020-07-31,RES,74027.810104,391349740
2020-08-01,PRO,24206.926909,60692208
2020-08-01,RES,73708.785462,391232230
2020-08-02,PRO,20678.963299,60688656
2020-08-02,RES,72085.045417,391163090
2020-08-03,PRO,23392.280585,60692496
2020-08-03,RES,68921.053316,391277982
2020-08-04,PRO,24316.293885,60689760
2020-08-04,RES,67020.787106,391289996
2020-08-05,PRO,24696.9906,60686592
2020-08-05,RES,67171.913363,391324752
2020-08-06,PRO,25356.883941,60684672
2020-08-06,RES,68060.876857,391346828
2020-08-07,PRO,25925.85479,60681408
2020-08-07,RES,70248.193466,391403650
2020-08-08,PRO,23940.751025,60674352
2020-08-08,RES,72560.252504,391368526
2020-08-09,PRO,21264.870953,60672048
2020-08-09,RES,74501.953778,391340870
2020-08-10,PRO,24497.515172,60673872
2020-08-10,RES,72791.06017,391443408
2020-08-11,PRO,25733.05635,60673872
2020-08-11,RES,72343.166161,391455280
2020-08-12,PRO,25455.475689,60672528
2020-08-12,RES,72026.739123,391482246
2020-08-13,PRO,24780.462711,60672192
2020-08-13,RES,69882.751408,391526016
2020-08-14,PRO,24281.727331,60674016
2020-08-14,RES,69101.647168,391599068
2020-08-15,PRO,21376.579368,60667968
2020-08-15,RES,69998.764538,391573964
2020-08-16,PRO,20012.285839,60666432
2020-08-16,RES,70336.549111,391551740
2020-08-17,PRO,22672.566035,60666144
2020-08-17,RES,68453.742963,391670592
2020-08-18,PRO,24134.796186,60670032
2020-08-18,RES,67705.618464,391694270
2020-08-19,PRO,24430.126902,60668784
