Date,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
2020-08-30,PRO,148675.538427,426844272
2020-08-30,RES,575621.366439,3084585316
2020-08-31,PRO,174588.016309,426852768
2020-08-31,RES,549883.336916,3085663652
2020-09-01,PRO,185763.926569,426855436
2020-09-01,RES,534525.605908,3085643942
2020-09-02,PRO,185139.168806,426811296
2020-09-02,RES,539625.586703,3085686872
2020-09-03,PRO,190240.113342,426803616
2020-09-03,RES,527551.366535,3086116502
2020-09-04,PRO,194076.396947,426806256
2020-09-04,RES,524975.639649,3086677458
2020-09-05,PRO,172421.992716,426754606
2020-09-05,RES,545082.700863,3086641904
2020-09-06,PRO,150735.412439,426729456
2020-09-06,RES,567051.109662,3086543690
2020-09-07,PRO,178693.611237,426764736
2020-09-07,RES,532934.558679,3087330746
2020-09-08,PRO,190399.162158,426762768
2020-09-08,RES,521459.52815,3087377518
2020-09-09,PRO,189689.324187,426749136
2020-09-09,RES,528636.352944,3087671128
2020-09-10,PRO,193739.513395,426749184
2020-09-10,RES,520064.125034,3087997768
2020-09-11,PRO,195768.95509,426740832
2020-09-11,RES,523999.931102,3088460200
2020-09-12,PRO,175320.114976,426702286
2020-09-12,RES,548498.742912,3088293662
2020-09-13,PRO,154778.847839,426684384
2020-09-13,RES,563961.79092,3088152046
2020-09-14,PRO,187619.794493,426726528
2020-09-14,RES,537856.658589,3088887396
2020-09-15,PRO,199189.819847,426728784
2020-09-15,RES,529624.172068,3089017056
2020-09-16,PRO,197243.318127,426722592
2020-09-16,RES,540039.914073,3089033724
2020-09-17,PRO,198975.426095,426699024
2020-09-17,RES,529694.799541,3089022794
2020-09-18,PRO,198707.00703,426708096
2020-09-18,RES,528397.30682,3089339604
2020-09-19,PRO,178224.760134,426673390
2020-09-19,RES,550894.594687,3089186982
2020-09-20,PRO,154276.030026,426652944
2020-09-20,RES,564739.996377,3089071550
2020-09-21,PRO,182456.53667,426693696
2020-09-21,RES,528394.7785,3089716560
2020-09-22,PRO,191281.365466,426698064
